,ghi,dni,dhi,temp_air,wind_speed,mydatetime,myTZtimestamp,Rad1h,TTT,PPPP,FF,Rad1wh,Rad1Energy,mytimestamp,ACSim,CellTempSim,DCSim
2024-05-28 22:00:00+00:00,0.0,0.0,0.0,13.42,2.57,2024-05-28 22:00:00.000,2024-05-28 22:00:00,0.0,13.42,101780.0,2.57,0.0,0.0,1716926400.0,-0.11,13.42,0.0
2024-05-28 23:00:00+00:00,0.0,0.0,0.0,12.42,2.57,2024-05-28 23:00:00.000,2024-05-28 23:00:00,0.0,12.42,101750.0,2.57,0.0,0.0,1716930000.0,-0.11,12.42,-0.0
2024-05-29 00:00:00+00:00,0.0,0.0,0.0,11.62,2.57,2024-05-29 00:00:00.000,2024-05-29 00:00:00,0.0,11.62,101730.0,2.57,0.0,0.0,1716933600.0,-0.11,11.62,0.0
2024-05-29 01:00:00+00:00,0.0,0.0,0.0,10.82,2.57,2024-05-29 01:00:00.000,2024-05-29 01:00:00,0.0,10.82,101680.0,2.57,0.0,0.0,1716937200.0,-0.11,10.82,0.0
2024-05-29 02:00:00+00:00,0.0,0.0,0.0,10.32,3.09,2024-05-29 02:00:00.000,2024-05-29 02:00:00,0.0,10.32,101630.0,3.09,0.0,0.0,1716940800.0,-0.11,10.32,0.0
2024-05-29 03:00:00+00:00,0.0,0.0,0.0,10.32,3.09,2024-05-29 03:00:00.000,2024-05-29 03:00:00,0.0,10.32,101600.0,3.09,0.0,0.0,1716944400.0,-0.11,10.32,0.0
2024-05-29 04:00:00+00:00,16.666680000000003,0.0,16.666680000000003,10.92,3.09,2024-05-29 04:00:00.000,2024-05-29 04:00:00,60.0,10.92,101550.0,3.09,16.666680000000003,6.550005240000002,1716948000.0,10.801204653114011,11.334889816437022,12.350763184894035
2024-05-29 05:00:00+00:00,91.66674,0.0,91.0341505798832,12.12,3.09,2024-05-29 05:00:00.000,2024-05-29 05:00:00,330.0,12.12,101520.0,3.09,91.66674,36.02502882,1716951600.0,68.23377128270532,14.386214955707462,71.41764075824581
2024-05-29 06:00:00+00:00,191.66682000000003,0.0,188.9012017913902,13.92,3.09,2024-05-29 06:00:00.000,2024-05-29 06:00:00,690.0,13.92,101470.0,3.09,191.66682000000003,75.32506026000001,1716955200.0,143.9374092864975,18.622685704279746,149.50625351671025
2024-05-29 07:00:00+00:00,316.66692,12.736002831671975,306.5329811456014,16.02,3.6,2024-05-29 07:00:00.000,2024-05-29 07:00:00,1140.0,16.02,101440.0,3.6,316.66692,124.45009956000001,1716958800.0,240.4244240236121,23.634519550297632,249.21804285080248
2024-05-29 08:00:00+00:00,430.55590000000007,54.55186376464155,384.39968314464664,17.82,4.12,2024-05-29 08:00:00.000,2024-05-29 08:00:00,1550.0,17.82,101390.0,4.12,430.55590000000007,169.20846870000003,1716962400.0,327.49022142001127,27.93741142001281,339.371967353934
